dni,sueldo_hora,cci,numero_celular,horas_semanales_trabajo,esta_activo
39037337,94.9,97004854987156475295,911024887,38,True
27730205,26.5,27017649717053766141,848104741,47,True
41883992,86.9,04535410562414190263,812403781,42,True
72244366,87.9,71134214021603428161,644463522,42,True
29580919,15.7,37504083820037398157,351741612,51,True
49142058,37.9,58129135534775372056,349972707,26,True
93900526,72.6,16549939937098004830,659875778,1,True
48040372,20.3,38715525760815168458,977512486,33,True
48297757,87.0,96237043309526168844,456561199,12,True
17764315,98.8,81534907102514670016,917823910,19,True
10869379,88.4,06877420589353593029,983290888,48,True
17777217,22.3,75856318409356681222,745404349,9,True
30419735,69.9,89878779290435309495,387193175,32,True
24875909,56.5,52161932418325154430,643426257,49,True
41472919,42.9,61814290292459910744,839835419,16,True
38965953,58.3,10354469776543360418,545059208,46,True
22102789,19.7,44327136788311693427,666492915,34,True
50513559,3.1,54925735271360973750,951344695,58,True
73911376,64.6,80731428657880894466,562039798,54,True
38895375,79.4,93196394029150016745,471545566,1,True
51730707,37.1,23918731782345149731,989248938,55,True
28797286,44.5,13626322161668528483,876834380,48,True
46574316,31.4,00188250659066365243,382137240,47,True
42916312,62.9,40466745698808152068,239565664,6,True
75834611,46.0,01066135782311396173,254765188,26,True
12987819,98.4,37758621679921620086,536231726,10,True
62860889,41.0,97866849840546405400,691520781,10,True
77069825,84.0,16921857338122183260,631547607,56,True
13706467,85.0,46111713358141988566,986530099,6,True
99910613,59.8,93630090919828899238,663112514,36,True
26719731,79.8,01548906018548197257,478742516,56,True
83990859,32.2,53402856894601937407,472484651,2,True
76798007,53.2,50933366872450708403,480876868,17,True
59292900,85.6,28069678237339565337,610921583,4,True
19536653,49.2,94889807534592418592,450214137,7,True
95111470,7.2,90709708895518838767,891939453,43,True
76210996,28.5,19769278515993753503,865675736,38,True
33741899,56.8,83296678574605054556,367007202,51,True
91416463,72.4,98353024073735259617,715060747,50,True
17460958,93.3,49584275308717338259,416785614,54,True
11756804,27.0,18468829736377671926,340073949,40,True
28431773,71.9,95794670750172892736,764957183,4,True
47358929,83.7,05914297175486605345,857743020,51,True
36535187,99.3,51668803468615542394,997841157,19,True
62410671,8.3,83862743143306604796,856864816,30,True
99362930,99.4,65724919216781360618,281870870,1,True
67421048,34.6,78742030941164720581,987805434,17,True
77867265,49.5,88579405404403042228,823593054,39,True
52338474,36.0,40422343018898996225,448544745,29,True
30789605,59.6,87613053580471785814,369197522,31,True
82319838,93.8,14324149111898024948,850336102,14,True
93241130,41.6,45421470658556056538,469442573,59,True
52305571,72.4,21984751918290421367,647228598,46,True
83257933,41.2,87085654520064811193,568366075,8,True
24554817,41.9,54214388462604955077,365878833,43,True
10720565,69.2,48939227802041808895,974624078,12,True
28403253,18.1,79133871592610675061,594758678,55,True
71643667,32.3,41258298076429876285,833938091,51,True
15610486,85.8,47414311494995957987,820099875,22,True
17545731,82.4,98051931571639877318,479143103,41,True
89196589,31.7,22466301833701480642,670013045,34,True
68546905,36.0,79431966422710083236,219910264,40,True
47605626,53.4,10788928093734328962,492715681,54,True
84708137,10.5,14192603920399929254,867611250,26,True
28210204,38.3,74300999535070022806,968012305,5,True
30335409,59.1,93963296642345841942,880559122,46,True
95170195,18.2,88693366879758726416,662977282,40,True
53912182,58.0,22377093350275287740,852927287,33,True
65013710,56.7,65126678050248114860,932512915,28,True
88231820,99.6,92010464654823456041,774767131,52,True
59563913,90.6,37398921618265288223,578732983,31,True
79912457,34.3,99178171677193242292,382238114,58,True
51923977,43.6,88565829956948074045,561120695,52,True
89994191,24.4,30745596098238134573,451370133,1,True
48526995,39.8,40910415768121417766,996246942,9,True
70980582,65.4,15407649406512257980,796074610,44,True
78696943,56.7,04695563373844307183,758179536,6,True
52107212,65.7,21276373288068472585,434811278,32,True
49920164,2.5,16230472259622431347,627178947,55,True
25692541,28.6,05619568736118144386,376206160,60,True
35020619,32.4,37291011226177542612,347998135,50,True
50720943,73.3,58110140882761978970,585549831,58,True
63137869,1.5,31350970720957420438,550318671,43,True
12789492,27.5,84076823662185512712,221631745,49,True
38923268,62.1,03646687631348441003,241235387,49,True
34598732,24.0,96298152343977850211,494515959,60,True
43353547,1.1,11634272479946797136,656740166,38,True
53594923,11.3,26566607019116562712,553132146,10,True
38032295,92.2,49123932141846990493,920313930,33,True
76617268,71.6,84312961021337672038,723479384,6,True
87582094,91.7,57146995214956720650,328539726,27,True
26084372,81.0,60074827660719866272,279556931,24,True
62564110,27.9,46752257637656649662,286427104,22,True
32594831,40.9,74394234301821661813,788806828,57,True
96784803,15.0,14362018526690312600,636425272,4,True
26096597,25.1,33553562480910208612,872890155,49,True
44131108,49.1,02538025829643106222,869477035,20,True
76810625,1.0,09026237961783268643,261660122,43,True
95932219,87.7,60766940694511553877,872971770,35,True
56884748,37.4,13092251135663684143,534603829,46,True
83259741,78.6,66353082222093042858,754118104,59,True
63522809,93.9,35821260356311779058,554097676,59,True
77493770,59.6,91613515155313480729,976339859,11,True
57063985,96.2,72646519985107986133,515122010,44,True
72139699,29.3,86774554224973744347,448588582,29,True
89706506,0.2,09617063781745551535,494839324,8,True
75953749,20.1,51755329841671059119,572571876,23,True
23216648,49.0,80709369860473447082,255564731,4,True
87151578,33.3,84047209056213004289,385739369,4,True
96265968,66.1,67622931064416283027,987732357,39,True
92934630,53.6,22715532140372423767,383810994,60,True
10857006,44.8,54126172841688108840,528983039,35,True
69009258,74.6,19766719069414886545,596979257,52,True
72241710,34.9,71565354757633742148,822183012,30,True
80900102,45.0,81759554627768492618,644120993,37,True
17304046,62.4,98236665716813519843,929799257,54,True
84992681,31.3,32312650734669616155,424998094,30,True
27185444,35.8,26610148590522157384,495312591,30,True
40986366,4.5,60147565807035433879,548592297,4,True
32289711,25.5,78663365289751555081,385952484,47,True
74910853,59.1,37015669031613896570,762817080,19,True
74899397,26.7,45896796700071255311,730223710,6,True
92919355,42.3,78103464819342887694,619006775,16,True
21613832,81.6,72133568623543330548,415568678,46,True
32637810,87.9,88645099686259526973,292147797,32,True
70290792,45.8,98295995992142047094,622694509,42,True
24770589,62.0,25397571864346217896,233541631,12,True
21431059,54.8,35317605442479118388,827048814,47,True
34384141,0.7,07454330928365638005,514193977,12,True
93534276,52.9,19788712083293794299,417436587,58,True
56199145,34.0,34912881321172612255,594867694,42,True
82708232,74.1,28422498603119249263,320191127,48,True
66661104,39.9,83788015776195227322,876359678,15,True
52889925,8.3,74365464017547123500,857444109,29,True
90707793,5.1,12115610320960463067,749630158,6,True
46645950,55.5,82461104054289333132,235474363,31,True
47160715,81.0,10414562876627448246,885286703,32,True
31141152,43.1,26120450251023929364,729014044,59,True
19097639,35.8,47244007969217345001,696721598,16,True
71006601,36.8,43159426168292568815,368241768,16,True
47085359,78.3,76252435568306994129,585375973,52,True
24719218,9.6,73335561440690436623,782142807,46,True
80948478,43.4,76612950908770622247,378563487,40,True
80618552,11.3,50434472065865976146,240012205,22,True
14994260,97.6,90221362312952742540,633072964,15,True
47819887,89.3,43317380973312582954,611188717,45,True
95598619,88.3,18580942246198773308,758879950,38,True
48606256,40.7,34799139064145056217,913344213,31,True
23228763,80.7,55552672288000744858,387061365,39,True
64628643,5.3,79604944717612150479,749756513,24,True
44918373,90.7,87346533401929257700,613522255,60,True
45956774,82.0,36890192060976982814,360796950,17,True
88290204,92.5,36351031931001606780,598600807,25,True
84078673,67.8,10671867912721648667,581634456,11,True
36378893,10.5,23297692627364079667,532787419,51,True
63600827,68.8,74416148833108530112,751480344,40,True
74072289,78.4,09672370096884796707,377368102,38,True
85213829,61.6,85868471476509747181,856564898,9,True
37452363,64.1,45198378374246363490,249551869,9,True
99743759,24.8,55085001199750855617,395644683,30,True
93555072,51.7,15385832773472664732,279260608,19,True
12427930,9.2,11302112566339079233,812578627,57,True
47294964,15.1,16032363843220685347,898905939,18,True
18107606,63.3,68622538956099517832,646257372,9,True
93825740,10.6,67755010792538675874,584887937,41,True
36869939,62.9,35491058708604499248,451114212,29,True
77591444,21.4,32464458631264853682,645700205,49,True
20558810,46.5,71238675792960987611,812944186,54,True
99469888,21.2,07579191095458747220,668898297,48,True
24351734,67.2,60625277042343962758,541568791,20,True
56730056,63.9,21420012372953745553,721940430,41,True
18789448,83.1,51976752029320121188,674680616,26,True
96979283,48.6,91511923025197612468,586739985,59,True
42294644,74.1,83213021959598271726,594937087,2,True
90017020,91.6,31367738939636677806,457290450,4,True
72463535,69.7,21001239222012163359,214511522,11,True
60889723,6.4,14562735828488910930,685880833,42,True
64620558,89.9,99676042408695835394,929841446,18,True
23515084,45.5,29323806981654564254,613962832,38,True
20556854,73.2,13518542043400215750,835816707,42,True
30117915,9.9,68533036865407887835,541343718,28,True
91940287,33.7,70809847694446529889,670770724,22,True
82377769,64.2,33435258250455618442,622301978,40,True
90613156,16.8,43450937298631847133,922426155,44,True
41186914,66.3,54127954103230604042,562518137,16,True
76124295,81.0,30708282938751386645,582141880,43,True
34899259,87.7,77170733464003507692,386783157,10,True
90011656,48.9,67551905483415976470,522015178,36,True
91325545,18.2,23584819442577689657,865944789,3,True
67493815,40.7,61155013546485948250,591837100,30,True
16793646,8.4,25129196324234602626,266495665,53,True
85804213,3.1,89681928668352983182,224351677,41,True
61985786,10.5,21595047193367834881,361100130,44,True
33267359,58.7,66485404718348849088,731732047,53,True
31611223,24.2,76013406537977764935,476599073,39,True
90034962,15.6,82052527079436501957,745950800,55,True
94615467,49.6,50103063212486472585,936769843,19,True
85415169,24.0,62845999617141494020,529782872,17,True
96489300,82.6,91374568773225210735,425656285,14,True
14576447,15.2,38295179857666833552,434080393,53,True
56470516,61.2,93696562669470956263,330531432,33,True
83886512,64.5,69542180489626490193,566410785,26,True
14371424,25.0,35076399011432212696,266089623,48,True
42294210,65.8,38164236940700215003,817337171,19,True
98337758,39.9,13930652328779224959,826533649,59,True
84603734,69.8,55903341188553017293,756006710,58,True
95976259,66.7,29188685018819286008,210037273,36,True
42087426,41.0,45825577737012222665,979204474,6,True
75848322,15.5,37225340039642815481,642335285,28,True
46982324,51.7,04858921847047010500,999200975,42,True
69488714,26.0,60368627357139660812,562074093,38,True
71768761,25.7,07556182420097983219,628596159,38,True
36316952,32.2,93022314668626104924,766681237,47,True
23142052,60.1,93170696597233902338,570302440,31,True
82602510,25.6,67323109510876992868,656915725,10,True
46825635,28.7,92333819437801248275,690970589,53,True
50939050,25.3,74961824527153539246,218942445,52,True
19618710,11.8,58957268934036629794,486170422,52,True
45208173,70.3,88292583076612888567,738686757,16,True
72814962,53.0,03335798739463500817,492882838,28,True
90024962,21.0,38391128396757213921,896892579,16,True
43713325,78.8,33072290905127652920,232942629,57,True
30670557,5.8,75706103587414713712,590216890,34,True
14292908,50.7,46105555036949241810,941796735,21,True
46542813,96.4,55603594119466363629,484914000,13,True
70781281,46.8,87444362113837894161,691254937,43,True
32552635,25.0,64568876749088694935,969984795,14,True
78225240,13.6,87077568380937845786,296931097,38,True
65046146,77.1,80517084435619666383,686756424,40,True
59767789,31.4,30348956403126695142,744774394,30,True
72524801,24.3,28201856153321395895,817332158,40,True
88753216,49.6,92300997177480090455,227548545,53,True
39006433,35.0,50751653761280399651,747723590,44,True
71197450,21.5,60750129292521376614,448703686,43,True
88365766,53.4,67272153629244665806,952414469,52,True
24717133,54.0,50869224938911700769,973398618,46,True
66707841,75.9,24751091722897919970,573402595,11,True
90240649,14.9,66217503075165209984,288848503,58,True
34640827,11.8,97687846634591135053,715201059,40,True
64059801,95.5,32057398363764096998,374588253,14,True
87090311,31.7,71668524694323838764,819817800,14,True
22511212,81.9,16044651734803149274,669014819,19,True
15119050,85.5,26501860651461270749,323464147,10,True
17507088,44.2,49563646908454208291,937747749,5,True
55822215,51.9,02189160577085111681,533907139,50,True
31928471,54.8,94066694615066086158,410667290,16,True
64937590,18.6,33900267931040444181,944326682,42,True
76569836,32.5,94478909031578254157,378593607,10,True
82358389,11.6,96607780477797640233,784211208,33,True
32799892,32.7,09450908367552767695,420372213,39,True
68688703,3.7,86262740317952174466,680525955,11,True
49936247,28.1,40373015855486488621,724453418,34,True
