profesor_dni,sede_id
12357522,11
66362835,2
48576321,16
77079877,5
14460489,6
57794875,16
42815027,2
51573078,1
65781326,0
66359428,9
83636561,3
65899475,6
26646359,11
25127635,17
83480843,19
34626904,17
42133653,2
24224316,16
37653867,9
34345918,17
20658089,17
95634138,10
32020725,11
95717932,15
12892956,10
81533008,10
23549090,2
41453830,19
39336281,17
73598674,2
74565104,10
71888160,12
59615820,6
91798332,7
25376658,1
73598674,3
70980656,14
30908331,5
89559516,14
56366403,17
51300445,14
78464120,12
24785911,15
91838080,14
64511675,2
54090456,17
55289895,7
24045626,18
43455529,11
66230172,19
59560303,14
73175472,8
91136639,7
36336866,8
62065538,0
61036356,3
36744015,15
38225155,3
20658089,2
74375606,9
32185921,9
49271231,16
39336281,0
36971376,13
67952446,4
51004976,8
64511675,13
27641815,11
50324214,16
12357522,2
61662650,7
50699077,5
94543380,10
72150963,5
14223745,3
92051219,0
26876391,7
25769995,16
73598674,15
20658089,0
14986191,5
48322682,17
15983137,19
24822861,4
43903418,3
26652719,12
20474325,1
56396397,4
59193685,15
57816291,3
13264379,5
65400336,9
49858270,10
22407153,15
41341167,17
76393885,1
35249551,10
44202861,4
75670475,6
49858270,13
81400363,2
10889099,1
52566737,5
34989186,6
65400336,11
56396397,6
56917556,10
18089709,15
64741144,8
59116731,1
84673784,13
14868905,19
66964495,18
19482745,6
30829641,3
91472793,5
90398139,18
48576321,10
82188235,10
96596040,17
36248639,18
62246599,13
62246599,4
37203724,16
83292124,6
95634138,14
28389814,13
53994987,12
34345918,0
92051219,2
51300445,8
74120840,19
96751967,12
23315662,10
50324214,13
86871859,3
59615820,13
54628242,9
29169535,1
35249551,18
34890065,6
56241234,3
10889099,5
98048282,12
77306341,19
21951152,14
81148606,11
61692525,13
72906374,17
41739358,12
38225155,13
61419476,5
85749110,12
23315662,17
43720315,2
31710750,10
32185921,3
58453213,14
43720315,1
65721273,11
14868905,2
47042127,5
36410446,6
67148947,4
89211864,9
38140877,15
23549090,19
44552429,4
79931957,5
99383802,12
36410446,18
53037491,6
13501012,5
43301794,0
56366403,4
43787609,4
72449355,9
43787609,2
97618211,10
44768530,12
53686847,11
14986191,12
82471083,13
56241234,7
92283148,1
71619088,12
53295277,7
99951128,16
28557871,8
26711927,6
69984600,2
98856939,9
49410996,8
18852536,1
44552429,10
20474325,18
79139876,7
69384522,15
36744015,0
34626904,6
93833966,17
97678953,13
18089709,16
97826021,4
35249551,4
74458374,2
24158620,9
14460489,14
59576564,4
81400363,1
36043852,0
33992241,4
23801696,5
61036356,5
95310771,5
47480291,10
67952446,11
91798332,1
80020925,19
56366403,13
29964604,0
19656890,12
12357522,5
36336866,19
73758291,0
65884805,10
95310771,0
21118962,2
78046208,1
43736995,5
44642610,18
51649342,14
56396892,11
66230172,10
26652719,3
19692930,17
91584864,8
78046208,5
56498080,3
89337353,7
67952446,2
39165815,15
79469253,18
29169535,16
38893856,2
23549090,15
41453830,11
53423226,19
39195757,19
18089709,9
82947878,13
19745744,19
56875885,18
81425825,11
38140877,12
95232369,14
86871859,8
47784736,0
52566737,8
43626628,19
41530684,10
57816291,14
60974932,4
53665319,13
91592298,5
37203724,6
64741144,15
50548225,4
43256208,18
61941149,7
43019592,16
36232319,9
44552429,13
97678953,7
19656890,13
82947878,15
77306341,11
58411521,15
65274974,14
71057669,8
82900667,11
37203724,5
43283152,0
99180256,9
74041375,14
30796517,9
77079877,6
43283152,7
85807747,5
56366403,2
70179609,0
12035199,10
69984600,11
43736995,16
54090456,18
20780417,12
13264379,19
25769995,13
73175472,2
64921502,2
65781326,11
59116731,2
52463141,10
49410996,1
95213353,3
50630568,1
22263710,19
44384845,13
51218567,9
14312702,10
53306337,13
69744413,7
35390218,1
93178151,10
67015455,9
24630075,1
66117967,7
41739358,18
89211864,18
93056343,8
56498080,19
90398139,3
81400363,0
39319581,0
17943649,10
90566384,7
36410446,11
41938298,10
90730268,3
77140802,3
98454631,0
49410996,3
75061946,3
61662650,4
92051219,18
90455243,11
24639864,4
67148947,5
23119469,10
90566384,0
41453830,4
30796517,2
67015455,3
