year,alumno_dni,sede_id,grado_id,secretario_dni
1989,91531194,8,3,95541655
1964,63898836,4,5,64357240
1997,61627043,8,2,84630356
1980,64993561,16,4,64319530
1971,72240466,9,3,42791240
1969,90778781,4,1,21907808
2016,44260741,6,8,23080770
2005,94085511,15,4,23080770
1969,15753142,3,8,58752944
1986,59462849,8,6,78150502
1975,69989835,17,3,84637592
1973,97034823,2,10,37731882
1982,30890198,17,9,83772726
1975,62797861,5,4,43165392
1972,46010186,1,4,20761150
1978,33072749,14,0,80460594
1968,99857519,11,1,50102807
2015,32792119,7,6,54568875
1994,70208449,6,9,50300266
1994,57550164,1,7,79789984
1966,38131652,9,6,21546916
1995,35383696,6,5,11433412
2008,11989886,15,5,46706772
1976,10304765,4,4,95914360
1996,85723544,0,5,46355755
1991,75884775,13,2,80815046
1986,63075750,3,1,63635195
2005,71558022,19,7,18900235
1982,80299356,7,3,43086842
1998,76024992,2,9,22710362
1978,40272369,14,6,46041781
1997,38547460,2,3,96285651
2022,99262993,17,2,30451519
1992,30559498,17,1,37731882
1969,80789433,12,4,26632976
1972,61043914,8,3,37460711
2023,75976907,4,9,58128734
1989,22659875,16,1,38726533
2006,83840367,4,10,43576406
1999,29785817,1,10,80815046
1977,59699219,2,0,80815046
1974,85451141,4,8,23080770
1981,35507433,10,3,22710362
2015,91470180,16,6,14080813
2005,94081645,16,5,83772726
2020,98298720,11,7,78548630
1966,47592358,15,10,97935480
2017,47550599,9,7,50300266
1995,77629891,10,9,21220643
2024,98775984,9,8,77615895
1973,33414939,4,1,63635195
1974,81979166,16,6,38726533
1982,94377435,4,1,64357240
1999,13797076,18,7,55706970
1983,94633257,18,2,93120973
2001,80238166,12,3,11839541
1962,40336927,13,5,51162185
1963,33355168,14,10,97935480
1996,75804092,5,1,79789984
2018,83588342,7,5,20578278
2003,88329688,15,3,23897976
2012,26253636,19,6,87942869
1976,69854511,3,0,77615895
1991,60180251,18,4,85683622
2005,74084576,7,10,90620509
1985,78945941,15,8,95541655
1991,81329341,15,4,64884528
1970,39685340,11,9,17607423
1960,39267618,0,4,62093547
2016,33259449,6,10,96286728
1961,68260777,19,0,46041781
2000,80277421,18,0,30903956
2002,36237980,5,2,20578278
1996,45538275,16,5,84284834
2008,40413733,3,5,42978476
1996,18248119,17,4,64884528
2005,43558388,3,3,43576406
1997,30255999,18,5,31815155
1965,16947094,8,2,84065326
2018,30207043,14,2,90080123
2020,19186681,16,6,95121059
1980,20379823,4,8,84065326
1992,54023575,3,4,78310349
1990,54243995,13,8,42978476
1973,33841156,17,0,20761150
1980,59482049,18,6,80815046
1966,25651990,13,3,21907808
1985,46559119,0,10,84588243
2018,69074052,6,7,86861214
1975,98895136,6,5,70467839
1969,64836652,1,1,51162185
1984,98228044,19,0,42978476
2000,46928102,12,3,70467839
2008,50331576,8,2,48431358
1960,44252734,9,10,30903956
1961,72239237,13,1,46041781
2001,33858113,6,0,30451519
2023,87426135,4,7,94698419
2013,98959594,12,10,21220643
1984,33293254,18,10,57978856
1998,54158779,19,6,19373250
1986,37249490,5,6,80815046
2010,51893940,15,3,64357240
1960,58772868,14,10,50102807
1986,53611740,10,7,58752944
1972,55727327,2,0,51162185
1989,70126063,18,4,38882043
1976,50647371,4,3,31815155
1976,55816747,5,3,38882043
1991,66392366,0,10,80460594
1975,50008547,8,1,43086842
1980,95273540,17,8,89845053
