dni,salon_nombre_seccion,sede_id
48416617,DarkOliveGreen,652
43942404,DarkSlateGray,1901
27731758,LightGoldenRodYellow,1823
83437707,FloralWhite,1084
39136984,DarkOrchid,446
97604863,MediumSeaGreen,238
87652935,Beige,1964
56704027,MediumSlateBlue,409
30221438,LawnGreen,556
96997197,SandyBrown,1989
84801921,Plum,516
68117677,SlateBlue,1212
51117550,MistyRose,66
79654506,ForestGreen,1821
62190445,PapayaWhip,1758
99525176,SkyBlue,1182
54640294,Orange,545
66685155,WhiteSmoke,27
97185076,Cyan,340
86959837,Maroon,1172
30332519,Tan,1661
13953752,Silver,1753
80163074,Azure,335
58625534,PowderBlue,1626
49288947,LemonChiffon,1304
27469801,PaleTurquoise,360
90484302,MediumVioletRed,462
59390548,SlateGray,1590
68581229,Lime,506
16983728,GreenYellow,630
52174228,Azure,685
55608198,MediumSpringGreen,308
69864028,LightSeaGreen,296
82199428,DarkTurquoise,1598
70598033,Black,769
75227996,DarkGreen,639
12812913,Snow,415
68885339,LightSeaGreen,1235
64554127,Sienna,609
64278212,DarkOrange,23
24559329,Cornsilk,1616
63499028,PaleTurquoise,1649
76112876,DarkSalmon,1847
47454174,DarkSeaGreen,1820
35803378,SeaGreen,311
46441505,Red,134
27846126,DarkRed,1393
35975247,SpringGreen,938
71611211,FireBrick,758
71700249,Peru,764
75627063,LightYellow,59
45597937,NavajoWhite,1661
79396539,MediumSlateBlue,893
67323496,SeaGreen,1250
51958102,WhiteSmoke,161
89678672,Cyan,474
86788380,Snow,1704
23983533,BlueViolet,1890
59292760,DarkCyan,1060
73678346,IndianRed,1850
64487556,Pink,1380
78302456,SeaGreen,1600
56821602,DarkSeaGreen,665
30681257,LightSteelBlue,1500
70181883,DarkGray,1579
20245882,Olive,535
22945458,DarkSalmon,103
84632174,DarkCyan,1999
92787667,Beige,1293
58104381,Thistle,1743
32444966,ForestGreen,211
14648237,Cyan,1763
95685405,HotPink,871
30822986,Crimson,1777
14448804,DarkGreen,773
50540447,Fuchsia,851
18290272,DarkOliveGreen,1270
56421989,DeepPink,1500
84692506,DeepSkyBlue,1210
48064357,GoldenRod,1416
78285171,DarkRed,588
28033338,BurlyWood,978
56696804,MediumPurple,1068
12030813,SkyBlue,511
48582500,Pink,225
99987219,Red,268
94539670,DarkOliveGreen,1620
93591182,Snow,899
76126508,Peru,898
64832746,Thistle,588
85889996,NavajoWhite,1795
43400225,DarkMagenta,425
62962630,BlueViolet,1085
14759488,Maroon,1440
14074968,OrangeRed,1572
82408120,SeaGreen,795
50882999,DarkMagenta,1364
12106737,LightPink,927
62589561,Thistle,938
64835902,Pink,1514
10550670,Tomato,1397
26357421,DarkTurquoise,927
28354121,Gainsboro,925
88094335,SandyBrown,513
28899971,Magenta,734
51146365,Cornsilk,6
77598930,Chocolate,886
39565794,LightCyan,1459
60203309,DarkSlateBlue,1364
51266176,SeaShell,1463
33689079,MediumVioletRed,1080
43336104,FloralWhite,897
75288623,DeepPink,1634
46414643,DeepSkyBlue,1344
30605116,SandyBrown,863
28275925,Olive,1019
24417983,LightSalmon,1810
68184496,CadetBlue,1446
34215585,Peru,93
83150476,LightSeaGreen,914
45960535,SaddleBrown,1958
12401882,MediumSlateBlue,222
81611923,AntiqueWhite,1410
62876812,MediumBlue,798
50217236,Chartreuse,162
