profesor_dni,sede_id
97553671,1802
97973084,774
14402652,1351
14945793,1503
49904186,55
58390309,790
85135436,627
87289275,1141
91162902,395
62762273,1251
42509032,1553
71155637,12
46506692,802
47187048,1801
61764042,1546
49902056,892
13002273,221
43140684,1635
77098328,1845
16603859,379
55564648,1338
47217876,1312
70404806,1338
65716353,738
47170007,582
86857648,1087
73014326,1720
89793416,447
48137845,1109
12055736,1975
80020021,123
27773114,581
43675182,748
33139471,1493
44601385,224
59020468,1774
65591868,1795
80398547,454
35806936,573
43978579,1370
90163073,818
39289508,546
95194205,652
76227254,1076
95398136,1423
46300093,1970
42256538,1059
14746239,1446
48107201,14
46756292,108
97678604,1526
21183047,1281
64454977,652
18315170,572
63984481,961
12883282,944
35573170,1601
90184259,980
89399492,544
39608787,221
86349411,1311
43682122,892
94039041,1553
31862886,930
22978490,1793
94091233,787
81272542,1329
48378580,976
71230956,1037
99543741,1722
21317039,942
22572477,1328
30645486,420
83590398,302
13235878,641
68728959,309
85922325,1529
17789025,1752
83926487,1710
34461766,1182
60340025,1601
56040349,448
35365382,319
86634639,471
66627681,948
93968044,276
51612424,1198
18670264,513
67412662,10
14815209,1787
25573436,623
81686370,863
20038359,1002
24785256,1225
25362608,1779
58941993,1140
38236828,761
68544015,908
29458629,1651
72911804,546
56741762,107
38298423,382
37030087,677
44715150,1605
45897634,1090
24785256,774
82205758,919
37219833,326
28892970,583
39030134,1231
57650379,310
69541454,1904
28218928,296
41672033,861
49519857,813
65543924,700
55482358,166
26003453,388
50070658,1569
76073281,874
72768065,1654
23047358,1452
26769901,1753
71605614,23
52850486,1221
23720692,213
31489537,922
37057900,1350
11263692,1313
18349848,468
75533785,861
14158027,308
12437557,300
23556387,1128
42384163,1717
84403440,1466
58187496,287
74435627,677
28954950,569
41832281,328
40629376,626
82784028,431
88710062,882
22521471,865
58472551,1715
34721478,1325
10489890,498
37775713,961
94091233,1765
35800441,51
30663674,327
19423361,1231
93711192,584
36620491,148
39487504,1298
33015692,366
96313726,1359
53652403,1284
40961697,1432
65279495,425
80405242,1759
27649827,62
40008080,830
92255996,844
45128539,529
65308257,691
61917440,1376
34518946,425
58459145,1604
26465532,1303
16399227,1419
51771999,1133
65759882,1001
62367814,417
37382976,49
46380428,762
13345500,1357
18626186,98
14000170,1578
63340297,1737
39021283,1671
54855806,1702
66726909,1679
49764629,1953
34908232,851
94392062,108
33508682,1913
92778302,552
96558963,1078
38748767,1319
60805437,589
15600429,1492
58223970,1359
58424155,1807
65756702,722
42594415,39
89073558,1689
98593183,838
34774957,1984
70575934,104
68718731,121
27975410,1736
94865526,379
10889713,964
44152351,827
45691943,1309
30822677,1697
35789981,1137
57378846,1123
34140417,1655
23700467,567
51381500,268
26765448,1905
97458444,223
63304299,1082
83051824,71
57056123,1850
21297098,357
22943904,1596
29088440,182
84930529,926
74546384,836
90435971,461
26551003,91
98929493,1313
82666069,565
25074263,837
59845589,199
19667206,224
33034875,297
68877690,1266
99273033,1796
86704553,37
98333306,386
78030532,1367
94540413,852
21232243,4
40418008,140
74064114,1129
26886837,1854
89609632,699
18118491,1257
45200854,1773
18761268,267
82994049,1285
19246857,1915
81867667,784
49983438,1704
10216947,1765
57840686,1119
33103137,1563
58934433,627
41781182,639
79836265,859
54580707,580
28156574,994
13185068,109
87728244,1614
18295133,910
60090442,1341
69213421,1767
19716726,1502
90935214,535
14863817,807
29857212,1580
33691527,369
97127848,915
54488072,1954
96516513,114
68066905,964
51637695,1350
76535682,211
44343272,168
84970145,981
31692939,1668
25527637,1167
38577660,1549
10533769,1843
68147503,1271
61952586,24
16727180,1872
37052413,894
27273382,1603
19318857,1905
59321109,342
88890093,919
85093340,847
85913632,1686
71172190,374
10115920,532
33866948,1556
21302554,639
81025620,1883
27739043,1804
32976312,293
85119893,1658
62578967,75
48228324,1979
19266208,1745
97421634,1661
23594938,1464
90889992,1748
29709768,1197
72048165,975
26785291,1908
29856595,1416
69104681,1979
41545292,140
32948512,539
26012430,177
50970499,1029
66147175,1154
83707854,1749
29676637,1664
26405776,1063
73555011,48
10889713,242
43088352,1429
40148084,875
89916582,1066
60768575,30
42337964,914
13537410,673
73106677,805
96129990,842
10347143,1254
34602477,1856
67067969,834
90525419,1488
63523503,257
21230986,1755
67750594,261
49057304,37
29816067,1673
30738466,567
12917623,1410
49458265,1056
46286253,1420
88584889,915
19593462,1331
79939719,631
95918541,51
84867643,812
26959809,1201
35985138,901
87106391,1378
32260450,1577
80982869,420
45624047,138
14838933,102
54157299,881
38678939,1439
10619072,1172
92387065,1015
96944119,87
93655239,1503
24422890,1505
67318849,1346
35364395,1507
82589562,1011
71021358,672
77540323,482
72142359,696
17220178,43
30912328,182
40804173,327
74859937,1689
75074012,124
20901276,1397
54431724,1068
85460369,160
25338818,536
45441177,1209
77334222,416
44061706,1478
81800808,103
15375597,1841
32502384,1503
69661217,1471
92233987,604
95393742,760
25764318,792
46380956,1561
11225979,1949
