year,alumno_dni,sede_id,grado_id,secretario_dni
1970,95266985,184,2,42606640
1986,62924464,53,10,54129529
2003,64286987,36,2,30169984
1993,87999968,24,3,34706744
2006,56740543,111,9,18550870
2000,43561921,115,2,33386979
1970,20279294,32,7,44034866
2023,35950225,58,1,77725660
1971,45102834,174,9,22670995
2002,43063289,190,7,39960340
1982,15315096,181,5,43840403
2018,41580734,2,10,45595422
1969,61630969,124,3,91438031
2011,31349867,87,0,44879003
2011,90246688,77,3,69981511
1971,27286091,75,10,17131126
2017,59221174,133,1,14352588
1961,25323945,98,3,20297915
2020,51534932,24,0,18060245
1989,58531775,95,0,96128413
2009,84824403,33,9,18923951
1966,24771005,90,6,67423111
2005,19017781,39,7,87538637
2021,85751667,174,3,41748210
2024,88174295,106,9,91438031
1971,35961895,37,1,55894665
2015,77924313,77,10,83919218
2024,68671170,199,4,80557208
1987,30058876,128,6,10439236
2016,19608444,26,4,24111231
1983,93898191,6,1,30770352
2023,15461409,183,6,76164293
1967,99293176,175,2,22919089
1973,39274280,36,0,61867250
1960,71955855,194,6,65637211
2012,80599504,6,7,34962945
2009,68956373,130,8,18550870
1964,25115638,24,5,19161333
1978,34519571,8,10,78318474
2022,23145635,57,10,42350703
2016,98155420,197,4,33813653
1989,41102923,80,6,86333340
2021,49886680,109,6,23859678
2016,76515750,192,4,74234286
2008,43295202,55,1,49532960
1964,38855551,53,7,20860464
1973,97432404,42,3,92174886
1973,12411688,51,3,30759161
1995,84583664,168,8,83783735
2020,82746832,198,0,19161870
1991,17408225,48,2,22367015
2013,42666844,110,0,67423111
2014,66568819,107,1,13230352
2013,93725439,179,5,57950282
2022,74835195,159,8,46430350
1999,25976635,5,6,74356133
2003,24695992,88,3,81944073
1992,47846204,32,8,90156771
1960,84781738,156,5,67446803
1973,46191528,43,10,17131126
2003,49635249,185,8,88831855
2019,23498823,176,0,46407859
2018,32512657,41,5,98985680
2003,22500528,74,8,24178666
1977,98924748,22,4,30047662
2014,48941155,110,1,65817641
1982,18949798,55,5,91438031
2024,28173089,20,9,90626233
1994,89355799,42,7,86873452
1998,55910579,48,5,66382620
2020,32030612,81,1,32708049
1968,27402284,73,6,52222055
2016,58456885,196,5,71191877
1960,21882841,157,0,46431386
1963,60083727,17,4,55927559
1964,81402973,37,8,64301174
1999,56847740,162,6,70237561
2006,31543225,134,5,23742774
1974,42160916,121,0,99350837
2003,23008569,177,0,73882436
2011,61614873,11,10,12339384
1973,62519772,27,9,51675249
1991,43745486,17,4,88311186
1990,41588871,55,3,24915662
1973,18133431,57,10,91229903
1995,71291947,60,10,53231018
1989,87838355,128,3,11083659
1983,16488133,41,7,43801681
1968,19953747,57,0,48269724
1993,14949367,67,9,33031955
1978,54728820,178,7,48739048
1966,87268861,109,4,75697193
1985,76894791,23,9,35185059
1988,82877030,100,10,95811182
2008,44350252,109,3,46293567
2019,97205973,30,6,77524977
2021,39180737,56,4,63553885
2015,30514698,55,0,69995244
1992,43347721,187,7,22241476
1968,18654672,26,1,93342539
1981,23026700,153,10,55744815
1978,72874139,160,1,27875521
2013,80745549,35,1,95355187
1964,78524951,46,7,69800314
2018,18101440,93,10,78562518
2002,96197538,8,1,62849505
1968,85767638,70,5,23742774
1990,61174082,143,9,43749590
2002,62988005,128,3,81714255
1961,12144474,187,1,48755750
1997,87232865,58,1,97023466
2019,66116788,197,1,93849218
1986,27460381,196,3,34527340
2020,63120111,29,5,62996686
2019,37517359,176,4,41147758
1978,41652459,164,8,58676583
2016,75890324,76,4,73882436
2024,13438658,72,10,37113906
1988,77763713,151,2,24449818
1975,43802995,157,7,62849505
1968,59751359,34,3,78225813
1961,69801928,57,0,32423210
1963,22244424,38,6,61215201
1987,66026714,27,4,60218974
2001,75474749,1,5,79446295
1966,45028544,73,9,13708316
1972,94280078,139,1,19173736
1985,23982876,95,3,50881107
2008,64428465,76,3,51675249
2022,87495249,135,2,13890934
2003,87233635,7,6,20297915
1997,79645357,78,8,81985136
2011,33195912,163,10,65164201
1998,32278780,108,8,83121174
1984,20946085,172,1,13632955
1976,22229643,123,1,29090752
1971,31835700,42,1,38030281
1969,34130259,94,0,17131126
2008,57528068,159,1,42302132
2013,68814201,136,7,18237319
2017,96166751,151,5,80457514
2005,92538311,124,4,47414931
1971,35512846,17,0,97672949
1991,81629326,174,1,45734016
1993,77670970,161,10,36032205
2024,47270010,111,9,80723249
1963,44007064,134,8,78781150
1962,34602727,107,7,88919662
1996,81717713,163,6,52851945
1998,17058915,7,9,75017129
1969,75472073,136,6,16209675
1964,40774950,146,10,83233561
1993,55654042,46,0,99979983
2021,22607480,86,6,12465523
1992,77254988,127,2,37817997
2014,67350973,56,8,29060354
1997,48176841,131,8,80536332
1960,34653668,16,10,24449818
1986,64520834,155,5,37570564
2004,42950153,99,3,72384830
2005,85455022,170,7,98830609
2012,65625087,196,8,69995244
1964,53221149,91,7,85519514
1969,18834114,91,8,22416112
1999,70309747,102,4,19285459
1961,10490164,70,4,23742774
1994,84515750,56,9,17559772
1977,14743373,13,5,79073269
1964,32639733,83,1,11512695
2011,17575761,146,7,52034820
1993,52648811,43,1,56121671
1966,19209694,11,2,28630706
1997,22150197,10,4,64621365
2006,40370819,143,9,74113615
2009,78112751,81,0,53289114
1990,71659363,61,8,98042408
2002,54921317,167,2,88145182
2010,84743737,191,4,15815868
1992,97543602,19,8,17080077
1968,21327587,50,1,61315440
1992,40864486,155,0,44977475
2017,88571088,168,7,88919662
1990,50012489,6,9,89572200
1995,55213116,105,7,60306471
1989,16195595,174,9,27441855
1988,98490582,36,5,76131323
1992,32580378,194,0,54573502
2022,12593258,70,1,40939551
2014,78868413,31,2,68847646
1997,12860074,126,2,45393388
2002,75021798,154,2,94179665
2014,46375635,26,2,62985071
1973,17749688,5,1,10206095
1999,38681836,129,10,33813653
1965,53085792,160,6,70075285
1985,73667635,161,3,91312467
1973,19799264,91,2,10679097
1989,47901213,28,7,61855668
1993,64785065,92,8,83163099
1996,34892472,37,5,50406943
1989,63401099,126,0,65835678
1978,52430231,140,3,76234106
1981,37044326,149,5,41665798
1972,26012152,82,0,28391810
2000,63061242,163,4,54973479
1965,41481463,81,6,76509653
2012,78723087,97,3,65804627
1963,60689368,188,3,36449692
1987,18061208,43,7,10426105
2016,52683337,80,5,59567498
1998,98598302,95,9,65804627
1962,67518379,86,7,11083659
2013,13044752,6,1,11836500
1984,73510313,105,3,72991027
1961,74179211,42,8,34256590
1998,89648462,179,2,83011863
2007,75406366,162,8,73882436
2003,50081554,180,5,96791085
1994,91292023,77,2,52768905
1964,32030612,57,1,69978648
2021,12084830,8,7,41900187
1983,54710825,8,5,60306471
1960,56995398,182,3,66188965
1983,97442711,156,5,97005730
1965,79515983,11,4,11556887
2013,43630342,34,9,17089711
1989,98525935,134,9,59985478
2024,28277960,89,8,39696182
1966,96893033,175,7,34864026
2000,22462073,62,0,93602010
1964,48598723,87,9,98089017
1973,18753142,66,10,88313839
1973,55849061,164,2,15812874
1993,83035572,69,7,50819699
1971,38930922,18,5,92883685
1961,24690951,149,4,13632955
1987,58156670,14,6,39377480
2022,78594376,132,7,99940907
1982,33000888,7,4,89003613
1976,95486299,80,8,99860743
2015,99495005,151,9,24300361
2018,18695757,129,2,94763508
1980,53462347,45,0,44729629
2022,84169836,65,6,64301174
2022,99460099,59,7,13002185
2023,60066368,29,4,41372556
1962,20946277,132,10,51430985
1961,81228076,17,3,93119592
1977,53551578,26,5,73537271
2004,97231856,158,9,10410016
1968,43416152,184,4,19118573
1995,90963438,179,2,56663520
1975,83508882,100,1,83497650
1979,80783591,109,1,56158727
1964,41927395,152,5,27932477
2008,31124511,123,1,32384004
1972,49413200,145,8,75291843
2006,25907945,45,3,67718738
2022,66988984,153,4,10439236
1990,85886406,174,0,31771009
1996,82988612,22,9,81338158
2018,28773201,181,4,19431825
1962,41469635,78,4,27342526
2005,55298188,35,10,46407859
2023,46880977,170,6,69329183
1996,76523365,9,1,31814812
2019,21487573,104,2,24449818
2009,34943894,43,6,86348892
1970,98938903,166,7,91228604
2015,90519493,83,9,20893747
1968,29848145,68,6,36628428
2009,61964462,74,4,11925091
2013,39798397,110,7,19285459
1969,76355975,48,0,75929509
2004,54964420,10,2,53198761
1972,21026771,2,8,88773388
2009,94613851,109,0,44246074
1996,46604623,19,10,87753601
1989,15100661,177,1,59567498
1966,83221732,171,1,86546792
2023,92568912,20,4,96651795
2010,92155431,36,5,30445774
2017,87587911,53,5,19871871
1984,80439081,0,2,54670832
1969,87594425,180,10,86986254
2001,78106728,125,3,27601339
2008,51967332,8,9,22241476
1962,79257802,36,4,29864736
2023,75314602,11,3,79647347
1971,53292304,46,2,94471700
1994,59375327,50,5,13091847
1994,86334804,191,1,20893747
1989,22775214,139,5,10944125
2019,24058299,170,10,33648684
1999,33919279,61,5,28418587
1985,23895787,83,6,19161333
1978,71717982,127,1,12134091
1993,52217886,27,6,14485659
1996,25449061,23,2,28296747
1992,23527750,116,9,10944125
1998,12349833,137,4,13110915
2016,58100561,100,7,39316383
1967,47021096,73,6,28734160
1975,31019435,48,8,14352588
