dni,salon_nombre_seccion,sede_id
55856184,MediumSlateBlue,14
85831498,Crimson,9
93674119,OrangeRed,1
76633412,OldLace,7
95566004,MediumSeaGreen,7
80367697,GhostWhite,8
68796825,Cornsilk,19
56979866,Turquoise,7
90488971,Teal,9
73872684,Turquoise,16
34301880,Maroon,9
82789132,Maroon,18
69702268,MediumOrchid,19
74040932,LightBlue,19
98440053,Pink,7
76993604,DarkOrchid,7
14152732,Violet,8
56584898,Aquamarine,17
86802004,Silver,7
87571670,HoneyDew,16
37256348,DarkGray,8
45312999,DarkSeaGreen,6
81884836,Blue,17
77135148,DarkSlateBlue,10
21503922,DarkGray,17
92690235,LavenderBlush,19
99548480,LightSeaGreen,6
70903542,Linen,6
43258034,GoldenRod,7
20804329,MediumOrchid,3
36086749,CadetBlue,19
75263809,ForestGreen,6
57471066,LightGoldenRodYellow,19
71623276,MintCream,6
88842561,DarkOrange,8
32709721,Coral,0
13943237,Salmon,7
36521656,MintCream,15
41468408,Sienna,11
86285565,DarkBlue,17
41151290,PapayaWhip,16
84407032,Beige,19
65904918,Yellow,18
35719945,PaleVioletRed,4
60761472,Lavender,14
77500563,MediumSeaGreen,2
94336251,MediumVioletRed,12
97158161,LightSlateGray,19
42727306,DarkOliveGreen,19
98637074,LightSeaGreen,8
33056125,Thistle,18
60120947,HotPink,13
51079299,SteelBlue,0
61995625,LightBlue,14
25636876,Navy,16
89625361,DarkViolet,17
91873111,AliceBlue,1
18593628,Silver,2
24512387,ForestGreen,8
73770631,CornflowerBlue,8
86221851,HoneyDew,11
50297813,Silver,11
64527384,Sienna,4
92368237,DarkGray,3
50767862,LightYellow,16
78533028,DarkGreen,6
16048335,DarkOrange,19
53378796,Salmon,18
54245516,SkyBlue,7
85139652,RosyBrown,2
40359372,LightSlateGray,12
75732430,MediumVioletRed,14
14803802,OrangeRed,7
78002843,Red,2
67795048,LightSeaGreen,1
31141334,RoyalBlue,14
82101772,DimGray,14
59564365,Cyan,4
79773881,MediumAquaMarine,16
80722712,Crimson,18
44545482,Ivory,4
66898567,HotPink,15
23569049,Olive,8
25766090,LightGoldenRodYellow,5
92988846,AntiqueWhite,15
72442450,Beige,18
15898848,Lime,15
68910774,AliceBlue,12
11231906,LightGray,10
36263300,LightGreen,7
13134904,DarkMagenta,12
60552377,SkyBlue,9
63550783,Yellow,13
95465334,White,2
85280389,MediumSpringGreen,6
59382784,SkyBlue,0
41771261,Snow,4
36613952,DarkBlue,12
85419523,White,11
