dni,numero_celular
92223624,975546350
89556594,386328173
51111912,896147342
80149038,936902149
85606787,937375451
86851950,872021376
51352308,634467049
67521926,866774460
19280681,439265179
83944252,426297090
14857207,643828912
85457213,920660200
77518865,448147924
16877213,923231112
52527716,436779604
52081312,633847582
82922455,234313847
52591385,726155730
55268598,346359792
88926437,927906866
96415208,545318464
79957233,262392732
18470677,680633376
15750323,246630726
68053810,253001951
57765325,681448392
44257808,372206018
86909075,492164391
62962063,711335682
56945703,788627645
14271145,634082262
55286446,719045249
15254133,216410039
38679603,548928913
66354757,628813437
91417512,331749651
30638724,434164427
30914710,520404235
12362573,236568976
50559143,252085300
11696242,815053787
41824813,440578995
17990740,291095655
62838672,240249510
81482096,754693429
87560486,784568702
94748445,786124163
82967990,328410981
67157853,578712652
66664154,335559796
79536175,831747893
54749634,313788269
16806819,510045058
22771063,949593641
22152702,546930750
26062623,550047432
84650108,915040454
59398969,998595158
13104105,315298865
83616748,752416530
18905595,891252969
55399798,690762602
19710378,617786297
50083117,611708403
94747740,729087407
88233113,751959654
17768503,997380309
70296499,450281650
36217133,643708029
78331884,271740339
78677903,922980741
76333229,257345894
49557945,736636383
17199475,659104048
34368872,391263138
96040483,479293579
27336142,738802714
68668577,521490632
73654954,357761549
23737571,417792736
41990701,642867600
37879169,932524401
81545551,931715901
85052332,544827422
43097944,632552536
90215470,424935844
29028993,895265529
38419838,554359230
15475377,441947607
56712062,328882908
24704903,298075782
42365427,570589652
58238237,271690348
59057991,782730774
26236281,415351568
58404839,841401519
52837784,328210252
33431979,988246004
91990282,973868768
35880489,295438545
88703108,828660628
97853940,674916323
19580233,444252741
65347099,913052047
66764308,929063339
75501139,929290716
81529552,455345115
97926887,883781365
49480751,957580565
33975111,221939650
85870140,477282714
43278586,349180028
50606069,797369276
44549522,710525504
33164505,980327902
96320383,343679166
10811342,624239430
89716844,629232922
11783912,350490471
51048594,898668650
70370971,761982423
31249628,435122912
10965927,519233219
88981686,964247263
45668845,535025019
10456618,748227819
77326701,532177650
24038842,380694547
88427473,933108087
83038460,952216612
84206311,241762868
44398700,780761570
97412287,221216240
21620643,816202219
15336717,768035092
19312681,321825728
87241884,345141555
52964526,876896427
59186374,515448864
12794871,843922034
68944804,767152262
64159087,896108253
17409616,297437033
50463929,668649049
42914746,220399706
82261292,598160705
37266609,464614762
16971260,667285471
59372572,927991230
96354123,230718422
38814510,292457165
37969354,861680226
80195604,725205328
55649020,930808746
95628206,573662271
91576404,618077275
41416981,731326587
40125248,823548208
11985156,989100136
94660527,585220718
93684568,575774806
40043910,975548143
63683439,663032225
53482639,599345396
94444681,684643036
98130516,585821657
22958902,722436678
25035935,445211634
81866027,876991061
55961577,826613099
18602578,730856348
92161234,944846747
27293038,940905797
18792985,375753146
55390588,780535981
27343468,466551626
61463478,320313253
86472751,228986742
44558168,850642486
37180487,291169046
85908430,778443192
90070489,444584837
67300034,916581200
84337974,423821918
98601375,953680961
60177151,850137461
81528460,241256170
80224022,818095803
19552185,377009195
32396921,913509874
91805872,670588494
85331136,814591369
84696279,396158807
48748288,430428684
42668651,617617045
78477661,816383884
88278781,515018429
54914347,511303873
81981143,662469491
87027465,254113626
11731041,929598421
40637283,945427884
56009073,825092476
91432830,788791367
66991338,966554127
72428684,259817932
75328546,958973702
98871712,589332369
96052819,722964870
21835379,339202710
41352663,560460418
88814758,660739640
56305952,989168569
57541509,840470860
10822428,843244768
13552442,860925224
22999145,339265060
16746569,988504364
18711573,255100707
63120912,919164025
52633404,785893922
27035630,785288783
76467753,918604593
71951307,243903341
90361590,922364373
44756935,459549978
30950990,920637561
87871782,422458674
65287039,610315418
71609732,440261743
64233313,346323282
48120718,939575815
69685373,238217301
88103353,324311867
60680895,355717268
65726208,362353504
81199036,433805774
62482226,244795603
78988609,687187205
54976325,949811056
82062684,278818387
48634597,293226713
49281884,285451701
53664806,885805016
63714980,363213376
93774057,934196660
37741926,342322571
35390270,330719310
73854336,653510156
28620295,479735288
59349948,935265217
21926268,816214458
21988739,687013024
88161439,352907278
71628433,413769799
67590186,919981401
98167034,297358066
30877155,915128233
61020078,625536292
36579274,853603628
61236798,616339447
68066556,434448170
77215933,476646129
65627238,249069235
96048688,799533676
63030112,720711469
19243385,395459264
17811022,596971783
77600919,413762347
57306440,756140607
19741793,223970757
71406763,648552503
46851364,426270759
21615492,842350856
27504253,537918539
44436835,830746118
29795590,415039047
97436160,370847024
68720812,481300032
96161712,853623125
92370879,266050647
38010159,664303868
67681250,490690559
86441164,849356016
22463506,578940239
44420852,734782254
13020441,575851663
72774252,368667623
75296960,497173361
99292921,671392151
23108118,452727765
96681987,897954151
19370490,570543285
28459167,477701840
99096453,252830317
49494969,334318630
42360321,285350629
78884753,656161969
14927497,533492483
74800724,712414937
97786115,958836031
92485490,924472179
69738511,999288329
70601148,241701056
22688727,457866578
47148579,775269162
60881620,749416532
35695290,573366508
57651507,599692676
29649494,527389156
68313627,599498451
40415470,341249719
50310900,292169460
51694757,953547012
95740339,368138750
28903116,581969431
91345522,482977919
88171611,712333618
93340073,886305474
96302582,733182398
95781274,679754355
35835191,321889665
79559104,530340397
49414460,762505746
45776552,469556221
92632474,773167749
83485954,622109726
91756363,814491827
11216188,987175746
32103891,995074443
26754404,977911467
68500894,685197488
56255407,530085194
70012776,612816596
10485595,616772690
79082703,283726473
60917490,615485911
62665638,572036582
85479275,473309594
76213242,773573543
40418946,410353918
22235707,496026069
94572615,451021671
69769138,686968037
45590413,671079486
72453448,823048697
80621056,288692004
31339104,341073737
70046610,473877351
31031408,544384296
45876580,462362956
56911488,335042833
78418230,845933875
96040400,793474577
14800433,599833675
47684067,744444378
37659820,975843897
69633156,788751657
33048068,863594861
37405895,551307399
62366105,389510217
62389929,848794474
98003453,649952516
22862261,265097181
68994793,869102960
48255643,216188967
48049413,912700881
34180152,948951747
84961157,620491734
12302056,542786487
51098745,534039127
93964159,929979847
96516504,483230746
41281081,794787618
66502537,732550273
86355978,284647069
80765823,471514184
81569715,688422036
78340514,395996145
96962747,516798508
58754436,363532955
45154390,944129180
67945900,334515084
99002130,442154072
85313964,450026142
16548204,786334808
11729725,999013487
77775730,815771463
54052179,778292902
91268410,926174727
89501330,526548586
86485937,552221693
