dni,salon_nombre_seccion,sede_id
19488414,Cornsilk,1
44519283,HotPink,0
22000407,DarkRed,1
75329456,Teal,0
33122099,Wheat,0
45016423,ForestGreen,1
33120158,MistyRose,0
93958950,SpringGreen,0
11144290,DimGray,1
12357122,Coral,1
36843337,DarkCyan,1
64518130,Gold,1
78878724,SeaGreen,1
48060668,WhiteSmoke,1
11258727,LightSkyBlue,1
77284004,CornflowerBlue,0
19569536,SandyBrown,0
19489044,DarkCyan,0
18937351,Bisque,0
23816769,DarkSlateBlue,0
46596806,PowderBlue,1
92168330,Aqua,1
24856682,Chartreuse,1
40374721,DodgerBlue,1
58142231,DarkTurquoise,1
29459756,Azure,0
19563351,Lime,1
72641483,Beige,1
45219267,NavajoWhite,1
15759798,Peru,1
