curso_id,grado_id,profesor_dni,periodo_academico
3,0,90885899,1979
10,4,20712412,1993
5,8,66344647,2000
6,4,53110061,1971
4,2,62258999,2005
6,9,81360362,2016
7,2,66465269,2010
4,10,46914177,1960
5,10,56540345,1963
3,4,19779168,2005
10,8,17814579,1963
2,2,86507600,1974
0,5,20929374,1996
4,6,87973725,1972
4,7,84017215,1962
9,7,83247155,2023
1,5,38599598,1972
2,2,70816407,2021
2,10,23092847,2021
4,7,66967170,2001
1,6,68399634,1960
9,2,62502137,1973
2,7,49589706,2003
8,10,90861251,1993
1,5,23802094,2009
10,0,70559046,1973
7,5,91915092,1975
5,2,64082185,2012
7,6,39774016,1995
3,3,32165232,2009
6,2,81854469,1990
2,3,88370365,1984
6,10,52152426,1995
3,5,62197247,1997
10,7,22005159,1993
6,5,17827558,2018
2,7,93336799,2015
10,1,41016950,2018
5,3,59912068,1968
3,5,20639219,2005
7,5,75207782,1988
8,2,83521042,2010
9,3,80853938,1985
7,8,32216147,1961
2,0,80081449,1989
3,5,49304359,2015
7,2,17570915,1988
3,7,64501369,1971
9,5,88306738,1966
1,8,42993392,1978
0,4,74919522,2022
0,5,93353219,1987
9,10,38191169,1994
0,1,10307600,1973
3,3,41906995,2016
2,0,60144266,1969
8,5,90749158,2022
3,7,43500817,2022
6,3,24271377,2016
9,4,34392426,2019
4,5,90465086,1992
1,3,69717451,2002
10,4,44804812,1989
2,3,82299859,2019
9,6,73794962,1973
9,4,70171432,1987
9,0,64550071,1995
6,0,34504503,2015
7,9,80295738,2017
1,10,15199819,2016
5,4,56983775,2007
5,7,97364208,1984
3,4,55835819,1977
2,10,15854036,1965
0,4,20639219,1985
6,6,35073026,2002
8,8,71009082,1961
9,7,28243522,2015
1,2,32058505,1980
2,3,40570260,1960
10,4,36097157,1978
0,2,51184872,1985
7,2,50515018,1987
0,8,20336940,1970
7,0,66024797,1994
7,5,11004068,1982
6,8,12026967,2004
0,6,61002899,1994
10,0,11586362,2017
5,2,16646997,2016
0,7,58697176,2012
4,0,62297194,1980
4,2,95325577,2006
5,6,39706810,1972
2,6,97828215,2024
3,5,22912773,2018
4,10,23697525,1961
7,1,34880357,1998
2,9,61158198,2002
2,6,52361033,1961
10,1,37893914,1990
8,4,37461813,1994
6,10,77831169,2013
10,6,52656442,1972
9,10,47707070,1982
1,2,64592135,1972
0,2,18796110,1969
9,9,59310866,1975
4,0,38481916,2020
4,1,28547936,1989
4,7,17691801,2010
5,10,21793028,2023
8,3,63834285,1988
2,10,94701174,2011
7,2,17155033,1987
10,6,88255300,2003
5,4,92184857,1979
9,10,92545917,2009
1,6,98053165,2019
4,6,24730556,1960
10,8,39166115,1971
3,0,84467334,1979
10,2,44964215,2006
5,8,70171432,1970
7,8,96781740,2021
0,3,93063379,1991
9,8,84703244,2023
10,2,41330049,1971
2,3,74694672,2007
7,10,75958863,2013
1,0,99397711,1994
0,1,78963909,2011
4,4,76984204,2005
7,3,97517948,2019
9,9,41721161,1997
8,2,39279722,1997
2,5,62197247,1999
5,6,32044299,1991
3,4,81656258,1975
2,9,11453544,1980
10,10,47320759,1963
6,9,63869713,1994
9,0,87070180,1995
3,1,35417641,1999
9,5,49621830,2012
7,8,56495152,2014
8,7,29393345,1977
6,8,21690860,1970
5,4,97364208,1974
9,10,58421269,1971
3,4,59007336,1970
5,10,81159683,1968
4,0,93666017,1965
4,9,55431085,1991
3,2,31374363,1963
8,7,18730468,2007
3,6,76834522,2008
3,6,52909274,1969
8,6,42458009,2008
0,10,25928928,1974
5,7,51568687,1982
1,7,73427024,1981
10,6,32818082,2013
6,2,20839164,1963
4,9,86507600,1983
9,0,32165232,1992
3,10,49594126,1980
